,SLNO,Candidate.Ref,DOJ.Extended,Duration.to.accept.offer,Notice.period,Offered.band,Pecent.hike.expected.in.CTC,Percent.hike.offered.in.CTC,Percent.difference.CTC,Joining.Bonus,Candidate.relocate.actual,Gender,Candidate.Source,Rex.in.Yrs,LOB,Location,Age,Status
79,102,2365129,No,4,30,E1,42.86,42.86,0.0,No,No,Male,Direct,2,INFRA,Cochin,24,1
89,115,2382818,Yes,20,30,E2,25.45,12.01,-10.71,No,No,Male,Agency,7,EAS,Chennai,41,1
92,118,2400028,Yes,20,30,E2,157.94,158.93,0.38,No,No,Male,Agency,11,ERS,Chennai,32,1
102,131,2440753,Yes,37,30,E2,62.5,37.5,-15.38,No,No,Male,Direct,6,ETS,Hyderabad,29,1
104,133,2441279,No,2,60,E2,32.53,19.28,-10.0,No,No,Male,Employee Referral,6,BFSI,Bangalore,31,1
106,135,2444384,Yes,43,60,E1,37.25,33.33,-2.86,No,No,Male,Direct,3,EAS,Chennai,25,1
107,136,2444496,Yes,60,60,E2,38.89,11.11,-20.0,No,No,Male,Direct,6,ETS,Bangalore,31,1
115,147,2464247,No,7,30,E2,28.3,28.3,0.0,No,No,Male,Agency,7,INFRA,Chennai,29,1
122,154,2474728,Yes,45,60,E2,25.0,18.75,-5.0,No,No,Male,Direct,7,BFSI,Bangalore,35,1
126,161,2479005,Yes,36,30,E1,133.33,75.0,-25.0,No,No,Female,Agency,3,ERS,Chennai,27,1
132,167,2537986,Yes,21,30,E3,25.0,31.25,5.0,No,No,Female,Employee Referral,16,INFRA,Kolkata,40,1
147,188,2593939,No,15,45,E1,65.96,61.49,-2.69,No,No,Male,Direct,4,ERS,Chennai,26,1
155,197,2609287,No,19,60,E3,-31.82,-9.09,33.33,No,No,Male,Direct,10,ERS,Bangalore,33,1
156,198,2613516,No,3,30,E2,16.13,-15.81,-27.5,No,No,Female,Employee Referral,9,ERS,Bangalore,33,1
158,200,2615966,No,11,30,E1,-29.2,-29.2,0.0,No,No,Female,Employee Referral,3,CSMP,Hyderabad,26,1
167,213,2780669,Yes,29,60,E3,33.33,266.67,175.0,No,No,Male,Agency,9,ERS,Noida,32,1
174,222,2795222,Yes,7,30,E2,-24.6,-24.6,0.0,No,No,Male,Direct,5,BFSI,Chennai,31,1
195,246,2846059,No,39,45,E3,33.33,236.67,152.5,No,No,Male,Agency,9,ERS,Hyderabad,32,1
201,255,2861873,No,0,30,E2,-36.36,-36.36,0.0,No,No,Male,Direct,9,AXON,Chennai,32,1
202,256,2861938,Yes,3,60,E3,35.0,45.0,7.41,No,No,Male,Direct,8,INFRA,Pune,30,1
206,262,2926304,No,4,45,E2,41.03,21.79,-13.64,No,No,Male,Direct,7,BFSI,Bangalore,34,1
207,263,2930426,Yes,5,45,E1,-25.0,-43.75,-25.0,Yes,No,Male,Direct,2,ERS,Chennai,27,1
212,271,3034334,Yes,37,30,E1,180.9,124.72,-20.0,No,No,Female,Agency,3,ERS,Chennai,26,1
214,274,3034980,No,0,30,E2,36.36,60.0,17.33,No,No,Male,Direct,6,INFRA,Bangalore,32,1
221,284,3120254,Yes,39,90,E2,46.24,46.24,0.0,No,No,Male,Agency,6,ERS,Chennai,37,1
234,300,3225955,Yes,62,30,E1,40.68,34.69,-4.26,No,No,Male,Employee Referral,4,ERS,Chennai,27,1
239,307,3234247,No,17,60,E3,57.14,257.14,127.27,No,No,Male,Direct,8,INFRA,Bangalore,35,1
247,317,3250029,Yes,1,30,E1,-35.45,-7.79,42.86,No,No,Male,Agency,3,ERS,Chennai,26,1
249,320,3250941,No,2,45,E2,37.36,30.49,-5.0,No,No,Male,Agency,7,BFSI,Chennai,32,1
252,323,3257382,Yes,40,60,E1,45.0,47.5,1.72,No,No,Male,Direct,4,CSMP,Noida,28,1
255,326,3258076,No,1,30,E1,-68.83,24.68,300.0,No,No,Male,Agency,3,ERS,Chennai,24,1
260,332,3263017,Yes,9,30,E2,33.33,16.67,-12.5,No,No,Male,Direct,10,ERS,Chennai,35,1
263,336,3267878,No,28,60,E1,291.3,165.22,-32.22,No,No,Male,Agency,3,BFSI,Chennai,28,1
265,339,3272381,Yes,107,30,E1,43.59,41.03,-1.79,No,No,Male,Direct,4,ERS,Bangalore,26,1
269,344,3284172,Yes,14,30,E1,216.67,195.83,-6.58,No,No,Male,Direct,3,CSMP,Chennai,25,1
272,350,3290646,No,0,30,E2,100.0,200.0,50.0,No,No,Male,Direct,2,INFRA,Noida,34,1
288,368,3311520,Yes,49,30,E2,294.74,228.95,-16.67,No,No,Male,Direct,5,AXON,Bangalore,37,1
296,376,3328640,No,6,60,E2,53.33,53.33,0.0,No,No,Male,Agency,7,Healthcare,Noida,30,1
304,386,3351261,No,0,0,E2,33.33,266.67,175.0,No,No,Male,Direct,8,INFRA,Chennai,34,1
314,396,3374257,No,61,30,E2,50.0,0.0,-33.33,No,No,Male,Direct,2,INFRA,Bangalore,29,1
318,401,3379707,No,34,30,E1,266.67,166.67,-27.27,No,No,Male,Agency,3,CSMP,Noida,28,1
319,402,3379843,No,17,0,E1,-12.04,-12.04,0.0,No,No,Male,Agency,2,INFRA,Chennai,28,1
326,415,3424549,Yes,77,30,E1,80.0,78.0,-1.11,No,No,Female,Direct,3,CSMP,Noida,25,1
329,418,3428591,Yes,21,90,E2,15.38,15.38,0.0,Yes,No,Male,Direct,8,ERS,Chennai,30,1
343,443,3507312,No,4,30,E3,44.44,253.82,144.95,No,No,Male,Direct,8,INFRA,Bangalore,28,1
348,449,3544532,No,6,0,E1,37.61,44.5,5.0,Yes,No,Male,Agency,3,ERS,Chennai,27,1
360,468,3685332,No,4,0,E1,-57.43,-39.19,42.86,No,No,Male,Agency,2,ERS,Bangalore,25,1
366,475,3699033,No,6,0,E2,25.0,12.5,-10.0,No,No,Female,Agency,5,ERS,Bangalore,27,1
375,491,2110719,No,1,45,E2,52.62,43.9,-5.71,No,No,Male,Direct,6,BFSI,Bangalore,31,1
377,494,2111978,Yes,108,60,E2,25.0,15.38,-7.69,No,No,Male,Agency,6,BFSI,Bangalore,33,1
389,513,2115986,No,6,45,E1,69.77,69.77,0.0,Yes,No,Male,Employee Referral,3,ETS,Bangalore,26,1
403,532,2118193,Yes,1,0,E2,30.52,30.52,0.0,No,No,Male,Employee Referral,3,INFRA,Noida,26,1
417,548,2120133,No,32,45,E3,32.12,32.12,0.0,No,No,Male,Direct,6,INFRA,Noida,27,1
423,556,2120920,Yes,6,45,E2,26.76,26.76,0.0,No,No,Male,Direct,12,INFRA,Noida,30,1
431,566,2123227,No,210,30,E2,79.17,45.83,-18.6,No,No,Male,Direct,5,INFRA,Chennai,30,1
443,584,2126878,Yes,78,30,E2,-4.26,2.13,6.67,No,No,Male,Direct,6,EAS,Hyderabad,29,1
450,596,2129464,Yes,9,30,E1,46.51,46.51,0.0,No,No,Male,Direct,2,Healthcare,Chennai,30,1
453,600,2130730,No,59,30,E1,85.71,71.43,-7.69,No,No,Male,Direct,4,BFSI,Bangalore,33,1
455,602,2130839,No,1,30,E2,44.93,44.93,0.0,No,No,Male,Direct,6,INFRA,Noida,28,1
456,603,2130922,Yes,53,60,E1,50.0,50.0,0.0,No,No,Female,Direct,6,ETS,Chennai,26,1
459,606,2131535,No,1,45,E2,34.02,85.57,38.46,No,No,Male,Direct,0,INFRA,Noida,40,1
468,617,2134039,Yes,7,30,E1,2.04,42.86,40.0,No,No,Male,Direct,2,INFRA,Noida,33,1
469,618,2134381,No,0,0,E2,42.86,19.85,-16.11,Yes,No,Male,Employee Referral,5,INFRA,Chennai,31,1
475,629,2136958,No,17,75,E2,19.4,11.94,-6.25,No,No,Male,Direct,7,EAS,Chennai,34,1
481,639,2140793,Yes,2,30,E1,23.08,15.38,-6.25,No,No,Male,Direct,5,CSMP,Noida,30,1
502,662,2147859,No,4,45,E1,35.87,35.87,0.0,No,No,Female,Direct,6,ERS,Bangalore,31,1
534,701,2152769,Yes,5,30,E1,31.82,9.09,-17.24,No,No,Male,Employee Referral,1,INFRA,Noida,23,1
548,719,2155289,No,19,60,E2,32.4,32.4,0.0,No,No,Male,Direct,6,INFRA,Noida,30,1
556,730,2156459,Yes,23,120,E1,46.34,26.02,-13.89,No,No,Male,Direct,4,ERS,Chennai,26,1
563,738,2157132,Yes,60,120,E2,29.41,25.88,-2.73,No,No,Male,Direct,6,INFRA,Chennai,34,1
569,746,2159450,Yes,48,90,E1,42.86,54.76,8.33,No,No,Male,Agency,4,CSMP,Noida,28,1
574,752,2160046,Yes,37,60,E2,47.06,37.25,-6.67,No,No,Male,Direct,6,INFRA,Noida,30,1
575,753,2160082,No,7,60,E2,34.0,30.0,-2.99,No,No,Male,Direct,4,INFRA,Noida,28,1
581,761,2160605,No,15,30,E3,8.33,8.33,0.0,No,No,Male,Employee Referral,8,INFRA,Noida,32,1
585,765,2161467,Yes,1,60,E1,20.0,-12.0,-26.67,No,No,Female,Direct,4,ERS,Chennai,26,1
602,789,2164811,Yes,111,30,E1,16.28,16.28,0.0,No,No,Female,Direct,3,BFSI,Bangalore,29,1
604,792,2165190,No,5,0,E2,33.33,40.0,5.0,No,No,Male,Direct,7,INFRA,Chennai,29,1
608,796,2165812,No,51,90,E1,20.31,20.31,0.0,No,No,Male,Employee Referral,5,BFSI,Bangalore,31,1
609,797,2166010,Yes,2,75,E3,-0.09,11.24,11.34,No,No,Male,Direct,8,INFRA,Noida,36,1
617,810,2167973,Yes,4,30,E1,63.27,42.86,-12.5,No,No,Female,Employee Referral,4,AXON,Noida,29,1
623,817,2169623,No,6,60,E1,47.73,31.82,-10.77,No,No,Male,Agency,3,ERS,Chennai,25,1
635,831,2170735,No,0,30,E1,35.09,45.61,7.79,No,No,Male,Employee Referral,4,AXON,Noida,31,1
641,840,2171465,Yes,11,60,E1,76.47,76.47,0.0,No,No,Male,Direct,3,ERS,Chennai,25,1
647,847,2172847,No,43,75,E2,12.5,7.5,-4.44,No,No,Male,Employee Referral,6,ERS,Chennai,30,1
648,848,2172869,Yes,51,120,E2,44.41,44.41,0.0,No,No,Male,Employee Referral,7,INFRA,Chennai,28,1
672,886,2177539,No,12,60,E1,32.65,32.65,0.0,No,No,Male,Employee Referral,3,BFSI,Chennai,26,1
690,906,2179672,No,1,60,E1,50.54,35.48,-10.0,No,No,Male,Direct,4,CSMP,Gurgaon,30,1
691,907,2179820,No,1,45,E1,63.27,45.92,-10.63,No,No,Male,Employee Referral,3,BFSI,Bangalore,28,1
700,918,2180560,No,10,60,E2,59.45,48.06,-7.14,No,No,Male,Direct,9,ERS,Bangalore,35,1
704,922,2181066,No,0,30,E2,14.29,-2.02,-14.27,No,No,Male,Direct,9,INFRA,Noida,41,1
706,926,2181439,No,9,30,E1,40.54,40.54,0.0,No,No,Male,Agency,4,BFSI,Bangalore,32,1
711,932,2181793,No,0,60,E3,33.35,33.35,0.0,No,No,Male,Employee Referral,7,INFRA,Noida,32,1
718,940,2182825,Yes,8,75,E1,30.43,21.74,-6.67,No,No,Male,Direct,3,ERS,Chennai,25,1
735,959,2184452,Yes,91,120,E2,55.56,33.33,-14.29,No,No,Male,Direct,7,AXON,Noida,29,1
748,976,2186241,Yes,1,45,E2,32.17,32.17,0.0,No,No,Male,Direct,3,INFRA,Noida,31,1
753,982,2186972,No,2,60,E2,50.0,47.5,-1.67,No,No,Male,Employee Referral,8,INFRA,Noida,31,1
767,997,2187909,No,2,0,E3,30.0,100.0,53.85,No,No,Male,Employee Referral,5,INFRA,Noida,33,1
773,1003,2188661,No,4,90,E2,39.53,44.19,3.33,No,No,Male,Direct,3,INFRA,Noida,28,1
774,1005,2189313,No,0,0,E1,50.0,20.0,-20.0,No,No,Male,Employee Referral,1,INFRA,Chennai,23,1
780,1011,2189775,Yes,13,60,E2,38.55,38.55,0.0,No,No,Male,Direct,6,ERS,Bangalore,29,1
782,1013,2189953,No,3,60,E3,-9.09,-7.43,1.82,No,No,Male,Direct,9,ETS,Pune,34,1
795,1028,2192493,Yes,2,30,E2,57.14,105.71,30.91,No,No,Male,Employee Referral,7,INFRA,Noida,27,1
800,1034,2192824,Yes,21,45,E2,86.05,62.79,-12.5,No,No,Male,Employee Referral,4,INFRA,Gurgaon,28,1
804,1038,2193459,Yes,79,90,E2,22.22,13.33,-7.27,No,No,Male,Direct,7,AXON,Kolkata,30,1
807,1042,2193699,Yes,24,30,E1,30.0,-7.14,-28.57,No,No,Male,Agency,5,BFSI,Bangalore,46,1
815,1051,2194465,No,3,75,E3,40.0,34.72,-3.77,No,No,Male,Direct,8,INFRA,Bangalore,32,1
832,1069,2195905,No,17,120,E2,6.38,6.38,0.0,No,No,Male,Direct,7,ERS,Bangalore,34,1
846,1085,2196744,Yes,1,120,E1,114.29,107.14,-3.33,Yes,No,Male,Direct,3,ERS,Chennai,26,1
850,1091,2197160,No,7,30,E1,21.43,21.43,0.0,No,No,Male,Direct,4,AXON,Noida,31,1
851,1093,2197234,Yes,10,30,E1,33.33,37.78,3.33,No,No,Male,Agency,3,ERS,Noida,28,1
858,1101,2197741,No,12,30,E1,50.0,75.0,16.67,No,No,Female,Direct,1,INFRA,Bangalore,24,1
860,1104,2198174,Yes,27,90,E1,0.0,65.71,65.71,No,No,Male,Direct,4,ERS,Chennai,26,1
862,1106,2198231,Yes,3,60,E1,18.18,-9.09,-23.08,No,No,Female,Direct,5,ERS,Noida,29,1
863,1109,2198517,No,36,90,E1,2.27,-20.45,-22.22,No,No,Female,Employee Referral,5,BFSI,Chennai,27,1
870,1117,2199770,No,65,45,E1,100.0,80.0,-10.0,No,No,Male,Direct,2,ERS,Chennai,26,1
878,1127,2200444,No,5,45,E2,25.0,25.0,0.0,No,No,Male,Direct,4,AXON,Noida,28,1
888,1143,2201794,No,28,60,E1,36.36,21.21,-11.11,No,No,Male,Employee Referral,4,EAS,Noida,26,1
890,1146,2201998,No,31,60,E1,57.14,48.57,-5.45,No,No,Male,Direct,3,BFSI,Chennai,28,1
892,1149,2202337,No,2,30,E1,51.79,25.0,-17.65,No,No,Male,Direct,4,AXON,Kolkata,28,1
895,1152,2202409,No,4,30,E2,24.45,28.11,2.94,No,No,Male,Direct,5,AXON,Kolkata,29,1
903,1163,2205130,Yes,59,30,E2,6.06,32.58,25.0,No,No,Male,Direct,7,ERS,Hyderabad,35,1
905,1165,2205314,No,4,60,E1,49.12,36.84,-8.24,No,No,Male,Direct,5,AXON,Kolkata,32,1
906,1166,2205396,Yes,5,30,E1,31.58,18.42,-10.0,Yes,No,Male,Employee Referral,3,ERS,Chennai,27,1
916,1179,2206399,Yes,86,120,E3,8.11,22.97,13.75,No,No,Male,Direct,14,ERS,Bangalore,38,1
920,1185,2206671,No,68,120,E2,60.0,76.0,10.0,Yes,No,Male,Employee Referral,8,AXON,Kolkata,31,1
929,1197,2207654,No,5,0,E1,48.65,55.41,4.55,No,No,Male,Direct,3,ERS,Chennai,26,1
932,1200,2207746,No,8,30,E2,-8.67,20.0,31.39,No,No,Male,Direct,4,INFRA,Chennai,27,1
940,1209,2207946,No,2,0,E1,32.65,32.65,0.0,No,No,Female,Direct,4,AXON,Noida,29,1
945,1216,2208477,No,59,30,E2,37.5,45.0,5.45,No,No,Male,Direct,3,INFRA,Noida,30,1
949,1222,2208967,No,25,60,E1,50.0,21.43,-19.05,No,No,Male,Direct,5,ERS,Chennai,30,1
952,1226,2209220,No,8,45,E2,9.79,9.79,0.0,No,No,Male,Direct,12,INFRA,Noida,37,1
953,1227,2209238,Yes,13,30,E2,30.59,30.59,0.0,No,No,Male,Employee Referral,4,INFRA,Noida,28,1
955,1230,2209414,Yes,6,30,E2,33.33,25.56,-5.83,No,No,Male,Direct,5,AXON,Bangalore,33,1
959,1236,2209977,Yes,93,30,E1,48.84,48.84,0.0,No,No,Male,Agency,4,ERS,Chennai,28,1
981,1263,2211859,No,0,60,E1,21.74,0.35,-17.57,No,No,Male,Direct,3,ERS,Chennai,27,1
984,1266,2212226,Yes,42,60,E1,65.14,33.21,-19.33,No,No,Male,Direct,5,ERS,Bangalore,26,1
985,1267,2212249,Yes,65,120,E3,35.0,34.7,-0.22,No,No,Male,Direct,8,INFRA,Chennai,35,1
988,1270,2212291,No,3,30,E3,28.14,28.14,0.0,No,No,Male,Direct,6,INFRA,Noida,29,1
1003,1287,2213307,Yes,15,60,E1,50.0,37.0,-8.67,No,No,Male,Direct,3,INFRA,Noida,30,1
1011,1298,2213699,No,32,45,E2,75.93,61.11,-8.42,No,No,Male,Direct,4,AXON,Noida,35,1
1022,1311,2214522,No,1,75,E2,40.0,53.4,9.57,No,No,Male,Employee Referral,1,INFRA,Chennai,27,1
1028,1318,2214746,Yes,61,90,E2,57.3,39.33,-11.43,Yes,No,Male,Direct,8,ERS,Chennai,29,1
1045,1336,2215778,No,88,30,E1,20.0,-13.6,-28.0,No,No,Male,Direct,1,INFRA,Noida,24,1
1050,1341,2216175,No,0,60,E2,33.93,25.0,-6.67,No,No,Male,Agency,7,INFRA,Noida,29,1
1052,1343,2216477,Yes,23,60,E1,49.12,26.32,-15.29,No,No,Male,Agency,4,CSMP,Hyderabad,26,1
1057,1348,2216668,Yes,19,45,E1,87.92,74.5,-7.14,No,No,Male,Direct,3,ERS,Bangalore,28,1
1060,1351,2217096,Yes,12,30,E1,62.5,35.0,-16.92,No,No,Male,Direct,4,ERS,Pune,28,1
1061,1352,2217119,No,2,30,E1,62.5,50.0,-7.69,No,No,Male,Employee Referral,3,Healthcare,Noida,27,1
1065,1356,2217251,Yes,31,75,E1,33.33,52.22,14.17,No,No,Male,Direct,4,ERS,Noida,26,1
1066,1357,2217261,No,2,60,E2,2.71,-22.97,-25.0,No,No,Male,Direct,7,ERS,Noida,35,1
1075,1368,2217898,Yes,4,0,E1,50.0,8.0,-28.0,No,No,Female,Direct,2,INFRA,Noida,24,1
1079,1373,2217977,No,29,0,E1,100.0,122.22,11.11,No,No,Female,Employee Referral,1,INFRA,Noida,24,1
1086,1381,2218251,No,4,60,E1,25.0,10.42,-11.67,No,No,Female,Agency,4,ERS,Noida,28,1
1094,1390,2218789,Yes,7,75,E1,42.86,42.86,0.0,No,No,Female,Employee Referral,3,EAS,Chennai,25,1
1097,1393,2219061,No,3,90,E2,32.35,32.35,0.0,No,No,Male,Direct,6,BFSI,Bangalore,31,1
1098,1394,2219069,Yes,36,45,E1,15.04,15.04,0.0,No,No,Male,Direct,4,BFSI,Bangalore,31,1
1101,1400,2219362,No,6,75,E2,27.27,4.55,-17.86,No,No,Male,Employee Referral,12,ERS,Chennai,34,1
1104,1404,2219472,No,6,120,E2,53.85,50.77,-2.0,No,No,Female,Direct,5,ERS,Bangalore,31,1
1107,1407,2219603,Yes,44,45,E1,25.0,17.86,-5.71,No,No,Male,Direct,3,INFRA,Noida,25,1
1108,1409,2219686,No,27,30,E1,31.82,-1.82,-25.52,No,No,Male,Agency,1,INFRA,Noida,25,1
1129,1445,2221131,Yes,2,45,E1,50.0,65.0,10.0,No,No,Male,Direct,3,INFRA,Noida,31,1
1130,1446,2221147,No,57,75,E3,26.32,41.81,12.27,No,No,Male,Direct,6,INFRA,Noida,32,1
1142,1466,2221849,Yes,64,75,E2,16.67,8.33,-7.14,No,No,Male,Direct,6,EAS,Chennai,35,1
1146,1473,2222019,Yes,5,30,E1,42.86,30.95,-8.33,No,No,Male,Agency,3,BFSI,Bangalore,27,1
1152,1481,2222513,Yes,34,30,E3,22.22,36.08,11.34,No,No,Male,Direct,8,INFRA,Noida,33,1
1153,1482,2222527,No,126,30,E1,42.86,20.0,-16.0,No,No,Female,Employee Referral,5,BFSI,Bangalore,29,1
1163,1494,2222862,Yes,11,30,E1,100.0,80.0,-10.0,No,No,Male,Employee Referral,5,EAS,Chennai,28,1
1166,1498,2223201,Yes,31,30,E1,21.67,15.0,-5.48,No,No,Male,Direct,3,ERS,Bangalore,31,1
1169,1505,2223526,Yes,117,120,E2,22.22,22.22,0.0,No,No,Male,Employee Referral,7,ETS,Bangalore,35,1
1174,1515,2223906,No,8,0,E1,31.58,31.58,0.0,No,No,Male,Direct,4,ETS,Bangalore,27,1
1178,1521,2224129,Yes,87,90,E1,32.35,17.65,-11.11,No,No,Male,Employee Referral,4,ERS,Bangalore,28,1
1182,1527,2224332,No,109,120,E2,42.45,42.45,0.0,No,No,Male,Direct,8,BFSI,Bangalore,39,1
1205,1596,2225482,No,19,30,E2,18.18,0.91,-14.62,No,No,Male,Employee Referral,11,ERS,Chennai,36,1
1212,1608,2225771,No,20,75,E3,25.0,78.13,42.5,No,No,Male,Direct,5,INFRA,Noida,31,1
1228,1639,2226605,No,3,0,E1,20.0,20.0,0.0,No,No,Female,Employee Referral,4,INFRA,Chennai,28,1
1238,1651,2227007,No,32,60,E2,37.93,37.93,0.0,No,No,Female,Direct,7,ERS,Chennai,31,1
1239,1652,2227033,Yes,3,45,E2,51.79,51.79,0.0,No,No,Female,Direct,5,EAS,Chennai,28,1
1240,1654,2227119,Yes,17,75,E1,33.93,33.93,0.0,No,No,Male,Direct,4,AXON,Noida,29,1
1253,1670,2228955,Yes,52,120,E1,33.33,-13.33,-35.0,No,No,Male,Employee Referral,2,ERS,Noida,26,1
1257,1674,2229527,No,35,30,E1,50.0,20.0,-20.0,No,No,Male,Direct,2,INFRA,Noida,25,1
1260,1679,2230421,Yes,12,30,E1,25.0,18.06,-5.56,No,No,Male,Agency,3,CSMP,Noida,25,1
1261,1680,2230827,Yes,127,90,E2,0.26,-7.59,-7.83,Yes,No,Male,Employee Referral,6,AXON,Noida,32,1
1264,1683,2231493,No,49,30,E1,12.9,-11.29,-21.43,No,No,Male,Employee Referral,4,Healthcare,Noida,28,1
1268,1688,2232835,Yes,65,60,E1,75.16,43.31,-18.18,No,No,Male,Employee Referral,3,BFSI,Bangalore,26,1
1273,1693,2233700,No,59,45,E2,46.15,46.15,0.0,No,No,Male,Employee Referral,6,INFRA,Noida,33,1
1276,1697,2234459,Yes,26,60,E1,25.0,25.0,0.0,No,No,Male,Employee Referral,4,INFRA,Noida,27,1
1278,1700,2235336,No,5,75,E1,33.33,44.44,8.33,Yes,No,Male,Employee Referral,3,ERS,Noida,26,1
1279,1701,2235809,Yes,81,60,E3,25.93,14.07,-9.41,No,No,Male,Direct,10,BFSI,Bangalore,35,1
1288,1710,2238088,No,5,90,E2,71.43,48.57,-13.33,No,No,Male,Employee Referral,5,INFRA,Noida,30,1
1291,1714,2239150,Yes,7,45,E1,18.18,-18.18,-30.77,No,No,Female,Agency,3,ERS,Noida,28,1
1298,1722,2241021,Yes,47,60,E1,17.82,17.82,0.0,No,No,Male,Employee Referral,6,CSMP,Noida,33,1
1299,1723,2241124,No,14,90,E1,40.35,36.84,-2.5,No,No,Female,Employee Referral,3,EAS,Noida,25,1
1300,1724,2241289,No,3,60,E2,31.82,31.82,0.0,No,No,Female,Employee Referral,6,BFSI,Gurgaon,29,1
1305,1729,2241649,No,0,30,E2,42.86,30.95,-8.33,No,No,Male,Employee Referral,5,INFRA,Noida,28,1
1306,1731,2241897,No,2,30,E2,30.0,-9.09,-30.07,No,No,Male,Direct,3,INFRA,Noida,29,1
1307,1732,2242358,Yes,10,75,E1,33.33,71.11,28.33,No,No,Male,Employee Referral,4,ERS,Noida,32,1
1310,1738,2243975,Yes,6,60,E2,66.67,53.85,-7.69,No,No,Male,Direct,7,ERS,Bangalore,30,1
1311,1739,2244070,Yes,23,60,E2,26.92,23.08,-3.03,No,No,Male,Direct,7,EAS,Noida,31,1
1321,1751,2246688,Yes,10,30,E1,20.0,20.0,0.0,No,No,Male,Agency,1,INFRA,Noida,25,1
1330,1763,2247552,Yes,30,30,E1,35.34,35.34,0.0,No,No,Male,Direct,5,ETS,Mumbai,28,1
1339,1775,2247845,No,43,60,E1,55.37,27.12,-18.18,No,No,Female,Employee Referral,2,BFSI,Chennai,27,1
1345,1789,2265573,Yes,31,45,E2,27.72,27.72,0.0,No,No,Male,Employee Referral,10,INFRA,Mumbai,35,1
1352,1803,2280811,Yes,58,90,E2,32.08,15.09,-12.86,No,No,Female,Direct,7,AXON,Bangalore,30,1
1359,1821,2281133,Yes,22,60,E1,50.0,50.0,0.0,No,No,Male,Direct,4,ERS,Chennai,27,1
1362,1824,2281166,Yes,0,75,E1,75.72,53.35,-12.73,No,No,Male,Direct,3,ERS,Bangalore,26,1
1363,1825,2281196,Yes,11,90,E1,39.53,39.53,0.0,No,No,Female,Direct,4,EAS,Chennai,26,1
1371,1836,2281370,No,27,120,E2,33.73,33.73,0.0,No,No,Male,Direct,5,INFRA,Noida,30,1
1378,1846,2281506,Yes,28,45,E1,37.04,37.04,0.0,No,No,Male,Employee Referral,4,ETS,Bangalore,26,1
1410,1901,2281802,Yes,14,45,E3,28.57,28.31,-0.21,No,No,Male,Direct,8,INFRA,Noida,35,1
1442,1980,2282185,No,90,60,E3,28.57,28.31,-0.21,No,No,Male,Direct,7,INFRA,Noida,28,1
1447,1994,2282228,Yes,66,75,E1,33.93,33.93,0.0,No,No,Female,Direct,4,ETS,Bangalore,29,1
1454,2013,2282307,No,4,75,E3,30.0,30.0,0.0,No,No,Male,Direct,7,INFRA,Noida,34,1
1459,2028,2282409,No,81,30,E1,62.16,41.89,-12.5,No,No,Male,Direct,3,ERS,Chennai,25,1
1465,2034,2282504,Yes,118,120,E2,15.38,30.0,12.67,No,No,Male,Direct,6,ERS,Noida,35,1
